"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AFFX-GapdhMur/M32599_M_at",-12.7003475629029,11.9899362598443,-17.3613401178199,8.42782184262724e-15,3.9457851752154e-13,21.2903166193427
"1435331_at",-11.2037415527019,10.4451782793091,-17.3543298744204,8.50177568086257e-15,3.9457851752154e-13,21.2841918054075
"1437287_at",-10.948915917379,11.6430383642432,-17.3473595275572,8.57597793289246e-15,3.9457851752154e-13,21.2780982623456
"AFFX-GapdhMur/M32599_5_at",-12.7429981597518,12.0255361460088,-17.3395828244304,8.65955957318387e-15,3.9457851752154e-13,21.2712955712173
"1418099_at",-10.3800702671302,9.22984395693748,-17.312942651982,8.95235853138954e-15,4.03840893350982e-13,21.2479581973893
"1425704_at",-12.3608518609263,12.2982656723354,-17.2934041964088,9.17363521786039e-15,4.09725430373943e-13,21.2308087487972
"1417150_at",-10.3211400717866,9.84448671962171,-17.2752686326956,9.38411513783156e-15,4.11673798782871e-13,21.2148653620629
"1455389_s_at",-9.86997697833298,11.0962986528663,-17.2739359750268,9.39977860222471e-15,4.11673798782871e-13,21.2136928306147
"1418273_a_at",-11.0222673591424,11.8458902356381,-17.2423758560393,9.77877768994048e-15,4.20921966300789e-13,21.1858862883335
"1416122_at",-9.29474452981294,8.80270943231605,-17.2384096439173,9.82751885204566e-15,4.20921966300789e-13,21.1823865559604
"1460547_a_at",-10.2314693134275,11.041940204542,-17.2263347104905,9.97747019042264e-15,4.20921966300789e-13,21.1717245844403
"1452285_a_at",-11.1216760193938,11.6033471541986,-17.2257985629163,9.98418319534126e-15,4.20921966300789e-13,21.1712509228806
"1452001_at",-11.4210036912118,10.6802716859457,-17.2121247278196,1.01569875852835e-14,4.24242324048276e-13,21.159163477555
"1450878_at",-10.5854407245345,9.83194442407733,-17.2017248664853,1.0290497354283e-14,4.25875537295143e-13,21.1499608283414
"1422849_a_at",-10.6508895037772,11.1806864497349,-17.1665267976002,1.07560580887688e-14,4.41096163985784e-13,21.1187546848877
"1452366_at",-9.91814347524948,9.38671955827844,-17.1569822817975,1.08860396925835e-14,4.42404730209407e-13,21.1102766471602
"1456080_a_at",-11.2406194963609,11.8606121690656,-17.1472868626805,1.10197495253935e-14,4.43840090259377e-13,21.1016575679497
"1419873_s_at",-11.2078341086283,9.60029765209737,-17.1398117975292,1.1124003635688e-14,4.44074162837068e-13,21.095007529
"1422817_at",-10.6057553966422,10.2571713890317,-17.130994245137,1.12483010023725e-14,4.45097244050021e-13,21.0871577736732
