"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1452956_a_at",-9.9342653172168,9.19813777654708,-16.8396648042013,1.62832611653359e-14,5.38580174768792e-13,20.8244838967024
"1424354_at",-11.6300838816825,10.1497091432987,-16.8384301798719,1.63089978242144e-14,5.38580174768792e-13,20.8233568605616
"1416778_at",-11.5106062521012,9.99835957280528,-16.8311697573678,1.64612047911578e-14,5.38580174768792e-13,20.8167267406181
"1423812_s_at",-10.5359733369171,11.3156793947012,-16.8304590301282,1.6476183577498e-14,5.38580174768792e-13,20.8160774946318
"1423058_at",-11.1750024883946,10.2982119161557,-16.8234846022769,1.66239257337034e-14,5.39500208523281e-13,20.8097043103695
"1438634_x_at",-10.4176560002955,9.76221466393472,-16.7965558171652,1.72074197715879e-14,5.54447647068807e-13,20.7850615488337
"1417141_at",-12.3451513277076,11.1840866927902,-16.786151776928,1.74385217159028e-14,5.57909017449913e-13,20.7755256306202
"1460547_a_at",-9.96238169952223,11.041940204542,-16.7732821564945,1.77288629728623e-14,5.63203527257619e-13,20.7637182049869
"1450721_at",-10.980525995112,11.1424566246916,-16.7638883603128,1.79439589290371e-14,5.65068746249107e-13,20.755091577962
"1430981_s_at",-9.3817837940393,9.10650983345425,-16.7561249818799,1.81237692399659e-14,5.65068746249107e-13,20.747957021642
"1422849_a_at",-10.395203475771,11.1806864497349,-16.7544259068733,1.81633713602573e-14,5.65068746249107e-13,20.7463949417822
"1423321_at",-11.6518609647679,10.4228676930757,-16.7307053015473,1.87257450824244e-14,5.78574219635728e-13,20.7245633552682
"1433507_a_at",-11.5237284003932,10.6869836439543,-16.7124477906859,1.91709110408118e-14,5.88299181667361e-13,20.7077298191517
"1435331_at",-10.7790139359764,10.4451782793091,-16.696436872091,1.95703531698262e-14,5.96499075331663e-13,20.6929461486973
"1424567_at",-10.2854299614755,9.06712929236323,-16.6858459846533,1.98393224373678e-14,5.99669983359758e-13,20.6831560007711
"1438475_at",-10.9029793301727,9.95935116960147,-16.6819100889673,1.99402565958687e-14,5.99669983359758e-13,20.6795154375653
"1448363_at",-9.89956598472366,8.84641920961266,-16.6744167134387,2.01338990875968e-14,6.01483568106949e-13,20.6725809646135
"1416471_at",-10.3625291773306,9.60383228930563,-16.6658488833285,2.03577051491805e-14,6.04168473210217e-13,20.6646467619193
"1435745_at",-9.7592172371226,9.1768843994215,-16.6574268764584,2.05802237201779e-14,6.05405572551671e-13,20.6568419634432
"1435712_a_at",-11.2460833193199,12.4779530308489,-16.654138069142,2.06678027428413e-14,6.05405572551671e-13,20.6537926593033
"1446017_at",-10.6913329753902,9.78321564644345,-16.6351588623424,2.11808344409763e-14,6.16430607504801e-13,20.636178918075
"1434814_x_at",-11.2633309058956,10.6925948724525,-16.6250723348963,2.14588564821434e-14,6.17705947512422e-13,20.6268064927046
"1424584_a_at",-11.2006419013945,12.1779399362997,-16.6199575320379,2.16012864886228e-14,6.17705947512422e-13,20.6220507320229
"1423693_at",-10.7397488346618,9.79986363612705,-16.6187357036934,2.16354554881318e-14,6.17705947512422e-13,20.6209143657408
"1458440_at",-11.2428688136043,11.8671531978692,-16.6009929209628,2.21380224550781e-14,6.28079366634322e-13,20.6043993010105
"1417124_at",-11.8253987804403,11.0784045099523,-16.5914647228138,2.24129041385632e-14,6.31903816056617e-13,20.5955201145108
"1434120_a_at",-10.8864042175035,10.2688773962671,-16.576355220873,2.28560997210425e-14,6.40396682246104e-13,20.5814250237385
"1416109_at",-9.91774259836358,9.11987733688999,-16.5624527671581,2.3271939664508e-14,6.48022961892564e-13,20.5684399200117
"1425367_at",-9.67853326033349,8.39766947772687,-16.5505226063511,2.36350551572038e-14,6.54096526467154e-13,20.5572847082441
"1416699_at",-11.34684078438,10.4877336351767,-16.5429233275743,2.38694190833441e-14,6.56554570030276e-13,20.550173146614
"1428662_a_at",-10.3425761203955,9.55297485223968,-16.5356136370167,2.40971321706998e-14,6.56913193817606e-13,20.5433282438028
"1437807_x_at",-10.2967692512255,9.01480469301455,-16.5331716896383,2.41737065337448e-14,6.56913193817606e-13,20.5410406183109
"1452372_at",-10.4077085901389,10.472684238179,-16.4967706939569,2.53456417039141e-14,6.8463586662489e-13,20.5068835539045
"1418888_a_at",-12.6967706529316,11.4074137841069,-16.4617599709353,2.65286083512315e-14,7.10125081401557e-13,20.4739309550286
"1451313_a_at",-10.2651538327997,9.29045320318565,-16.459580847622,2.66041096778681e-14,7.10125081401557e-13,20.4718766800099
"1419074_at",-10.7423550634917,10.246340126963,-16.4311749205743,2.76089965668808e-14,7.32368143834291e-13,20.4450632660979
"1445882_at",-9.75866225535234,8.7311713220444,-16.4269408467453,2.7762126489839e-14,7.32368143834291e-13,20.4410610008511
"1418099_at",-9.83994565812333,9.22984395693748,-16.4120675962252,2.83070684227478e-14,7.42402242180322e-13,20.4269905747898
"1455439_a_at",-10.8506982189011,10.5043282863686,-16.3996731535609,2.87696798001995e-14,7.50173558258381e-13,20.415251511488
"1435636_at",-9.73624660338822,10.3365344969076,-16.390084853486,2.91329422295104e-14,7.55279898835181e-13,20.4061616908069
"1427410_at",-9.11070820622002,8.05971560737825,-16.3465585522696,3.08429330001732e-14,7.95042690078751e-13,20.3648045969609
"1451450_at",-11.282239614235,11.7015443682008,-16.338485909021,3.11713811722229e-14,7.98943752658508e-13,20.3571173603071
"1451462_a_at",-11.1302471512114,10.235557255207,-16.3307565567444,3.14892700262966e-14,8.02318773998626e-13,20.3497520578378
"1455470_x_at",-9.91472880677929,9.11667876955342,-16.3266681515737,3.16587767173034e-14,8.02318773998626e-13,20.3458542488901
"1429776_a_at",-10.5746420080152,9.8959744898142,-16.3093539928372,3.23872097617563e-14,8.15015626530608e-13,20.3293321592048
